w1       68000 read (any size)
w1074    ??? (involves SPA/B)
w1075    CRAM data bus? (delay line?)
w1076    CRAM address to access (goes to l617)
w1077    Set if output color is transparent (latched in l619)
w1078    CRAM write: data for "red" bits (internal bits 2:0)
w1079    CRAM write: data for "green" bits (internal bits 5:3)
w1081    Enable color output on RGB pins (goes to l624)
w1082    Set when displaying background color (ignoring SPA/B)
w1083    Red color bit 1 (mux for m4/m5)
w1084    Red color bit 2 (mux for m4/m5)
w1085    Green color bit 1 (mux for m4/m5)
w1086    Green color bit 2 (mux for m4/m5)
w1087    Blue color bit 1 (mux for m4/m5)
w1088    Blue color bit 2 (mux for m4/m5)
w1089    Red color bit 1 masked by M4
w1090    Red color bit 2 masked by M4
w1091    Green color bit 1 masked by M4
w1092    Green color bit 2 masked by M4
w1093    Blue color bit 1 masked by M4
w1094    Blue color bit 2 masked by M4
w1098    Blue color bit 0 masked by M5
w1099    Green color bit 0 masked by M5
w1100    Red color bit 0 masked by M5
w1101    Normal color flag (see l630 for highlight)
w1102    Shadow color flag (see l630 for highlight)
w1103    Goes to the RGB DAC taps ([0] = red, [1] = green, [2] = blue)
w1112    reg_test0[9] & reg_test0[11:10] != 2'h0 (PSG channel override: ch1)
w1113    reg_test0[9] & reg_test0[11:10] != 2'h1 (PSG channel override: ch2)
w1114    reg_test0[9] & reg_test0[11:10] != 2'h2 (PSG channel override: ch3)
w1115    reg_test0[9] & reg_test0[11:10] != 2'h3 (PSG channel override: ch4)

dff3_l2  DMA in progress
dff22_l2 DMA transfer in progress (latched from t4)
dff23_l2 ??? (bit 0 of some value, incremented by ~t3, reset by w41)
dff24_l2 ??? (bit 1 of some value, incremented by ~t3, reset by w41)
dff25_l2 ??? (bit 2 of some value, incremented by ~t3, reset by w41)
dff26_l2 ??? (bit 3 of some value, incremented by ~t3, reset by w41)
dff27_l2 ??? (bit 4 of some value, incremented by ~t3, reset by w41)
dff28_l2 ??? (bit 5 of some value, incremented by ~t3, reset by w41)
dff29_l2 ??? (bit 6 of some value, incremented by ~t3, reset by w41)
dff30_l2 Pending external interrupt? (set by w58, reset by w49)
dff31_l2 Pending hblank interrupt? (set by w57, reset by w49)
dff32_l2 Pending vblank interrupt? (set by w60, reset by w49)

l1       H Timing signal: refresh slot (from l108, introduces 2 cycles of latency)
l2       H Timing signal: refresh slot (from l1, introduces 3 cycles of latency)
l3       H Timing signal: refresh slot (from l2, introduces 4 cycles of latency)
l4       Set during a refresh slot for 4 cycles
l5       Used to ensure that w267 is stable
l6       ??? (affects output of MSB of source address in DMA transfer from ROM)
l7       (pipeline from l6, to l8)
l8       (pipeline from l7)
l9       End of interrupt acknowledge (from w48, to l10)
l10      End of interrupt acknowledge (from l9, to l11)
l11      End of interrupt acknowledge (from l10)
l12      [has another use with w51] Used to reset t6 two cycles after it's set (t6 -> l12 -> l13)
l13      [has another use with w52] Used to reset t6 two cycles after it's set (t6 -> l12 -> l13)
l14      Clear sprite overflow and collision flags on vblank
l18      Select between DATA and CTRL port for writes
l19      Select between DATA and CTRL port for reads (used by w143)
l21      Latch pipeline during access to DATA/CTRL? (pipeline, from l22)
l22      Latch pipeline during access to DATA/CTRL? (pipeline, from l23 to l21)
l23      Latch pipeline during access to DATA/CTRL? (pipeline, from l24 to l22)
l24      Latch pipeline during access to DATA/CTRL? (pipeline, from l25 to l23)
l25      Latch pipeline during access to DATA/CTRL? (pipeline, from t13 to l24)
l31      Register write enable pipeline (from l34, to w205)
l32      Register write enable pipeline (from w193, to l33 and l34)
l33      Register write enable pipeline (from l32, to l34)
l34      Register write enable pipeline (from l32 and l33, to l31)
l35      Current VRAM address (17-bit)
l36      FIFO address entry #1 (17-bit)
l37      FIFO address entry #0 (17-bit)
l38      FIFO address entry #3 (17-bit)
l39      FIFO address entry #2 (17-bit)
l40      (used to ensure that the w18 pulse is stable)
l43      Set when FIFO is full
l45      (used for rising edge detection of l44)
l46      Status port EMPT bit (0 = FIFO has data, 1 = FIFO is empty)
l47      ??? (stores VRAM address bit 0)
l48      Finish DMA transfer (from w244, to w4)
l49      Time to flush FIFO entry (free access slot and FIFO not empty) (from w269)
l50      Selects between live flags and FIFO flags (used during DMA fill) (from w272)
l51      FIFO write index (2-bit)
l52      FIFO read index (bit -1, yes "half" an entry)
l53      FIFO read index (bit 0)
l54      FIFO read index (bit 1)
l55      FIFO upper byte OK entry #3 (stores w277)
l56      FIFO upper byte OK entry #2 (stores w277)
l57      FIFO upper byte OK entry #1 (stores w277)
l58      FIFO upper byte OK entry #0 (stores w277)
l59      FIFO lower byte OK entry #3 (stores w279)
l60      FIFO lower byte OK entry #2 (stores w279)
l61      FIFO lower byte OK entry #1 (stores w279)
l62      FIFO lower byte OK entry #0 (stores w279)
l63      FIFO CD0 entry #3
l64      FIFO CD0 entry #2
l65      FIFO CD0 entry #1
l66      FIFO CD0 entry #0
l67      FIFO CD1 entry #3
l68      FIFO CD1 entry #2
l69      FIFO CD1 entry #1
l70      FIFO CD1 entry #0
l71      FIFO CD2 entry #3
l72      FIFO CD2 entry #2
l73      FIFO CD2 entry #1
l74      FIFO CD2 entry #0
l75      FIFO CD3 entry #3
l76      FIFO CD3 entry #2
l77      FIFO CD3 entry #1
l78      FIFO CD3 entry #0
l79      Lightgun input (to l80, used for edge detection)
l80      Lightgun input (from l79, used for edge detection)
l81      External interrupt pulse (one cycle long!) (from w335)
l83      VRAM address bit 0? (comes from l47)
l84      VRAM address bit 0? (comes from l83 <- l47)
l85      VRAM address bit 0? (comes from l84 <- l83 <- l47)
l88      Gate latching for upper byte of VRAM read (from w341)
l89      Gate latching for lower byte of VRAM read (from w342)
l90      Frozen V counter (exposed over $C00008)
l91      Frozen H counter (exposed over $C00009)
l92      Lower byte of a DATA read (latched from w348)
l93      Upper byte of a DATA read (latched from w349)
l94      Value to write to FIFO entry data (upper byte)
l95      Value to write to FIFO entry data (lower byte)
l96      FIFO entry #0 data (upper byte)
l97      FIFO entry #0 data (lower byte)
l98      FIFO entry #1 data (upper byte)
l99      FIFO entry #1 data (lower byte)
l100     FIFO entry #2 data (upper byte)
l101     FIFO entry #2 data (lower byte)
l102     FIFO entry #3 data (upper byte)
l103     FIFO entry #3 data (lower byte)
l104     ??? (latch for data to write? used in a lot of places)
l105     V counter
l106     H counter
l108     H Timing signal: refresh slot (from w476, introduces 1 cycle of latency)
l109     Free VRAM slot (CPU access allowed) (latched from w359)
l112     H Timing signal: H counter wraparound (from w490, introduces 1 cycle of latency)
l113     Used to do edge detection of l121
l115     H Timing signal: increment V counter (from w502, turned high logic), latch window settings
l117     H Timing signal: VSRAM read in full vscroll, when F flag is cleared (from w505)
l118     H Timing signal: fetch plane A tilemap data (from w477)
l119     H Timing signal: fetch plane B tilemap data (from w478)
l120     CSYNC pin input
l121     ??? (whatever w376 is)
l122     H Timing signal: (whatever w492 is, goes to l173)
l123     H Timing signal: end of hsync
l124     H Timing signal: VSRAM read in column vscroll (from w506)
l125     H Timing signal: fetch plane A or B tile data (1st half) (from w479)
l126     H Timing signal: fetch plane A or B tile data (2nd half) (from w480)
l129     HBLANK flag in mode 4
l134     H Timing signal: fetch sprite table data (see w481)
l135     ??? (Hsync for mode 5? I got lost...)
l136     Hsync? (high logic)
l137     H Timing signal: end of horizontal display (start of right border) (see w494)
l138     H Timing signal: end of equalization pulse (see w499)
l141     H Timing signal: fetch sprite tile (see w482)
l143     H Timing signal: start of hblank (see w495)
l144     H Timing signal: (whatever w498 is)
l145     H Timing signal: 3px after sprite X & tile ID fetch in mode 5 (from w510)
l146     H Timing signal: (whatever w509 is)
l147     H Timing signal: m4 fetch sprite Y data, m5 scan sprite Y data? (see w487)
l148     H Timing signal: hscroll table fetch (pipeline goes to l316)
l149     External HSync pin input
l152     End of hblank
l155     H Timing signal: m4 sprite X / tile ID fetches? (active scan only, passive scan is weird) (from w485)
l156     H Timing signal: (whatever w484 is)
l158     HBLANK flag in mode 5 (delayed by one cycle compared to mode 4 l129)
l162     V Timing signal: line 511 (from w475, turned high logic)
l163     V Timing signal: ??? (always 3 lines after w473, end of the extra sync pulses maybe?) (from w474)
l164     V Timing signal: end of vsync / start of top TV vblank (from w473)
l165     V Timing signal: start of vsync (always 3 lines before w473) (from w472)
l167     V Timing signal: start of top border / end of top TV blank (from w471)
l170     Not start of vblank (from w469)
l173     H Timing signal: (whatever w492 is, from l122)
l178     Bit 3 of H counter (related to tilemap fetches?)
l179     Register $09 (mode 4 vscroll)
l180     Holds data read from VSRAM bus (updated when w516 goes high)
l181     Data to write to VSRAM
l182     Data to write to VSRAM (bits 10:8, goes to l181)
l183     Enables VSRAM output to the VRAM bus
l184     VScroll value to work with (VSRAM output in mode 5, register $09 in mode 4) (from w515, latched when w517)
l187     Latches window left/right split select (copied from reg $11 on w542)
l188     Latches window X split position (copied from reg $11 on w542)
l189     Latches window up/down split select (copied from reg $12 on w544)
l190     Latches window Y split position (copied from reg $12 on w544)
l191     Bits 7:0 of horizontal scroll in mode 5 for plane A
l192     Bits 7:0 of horizontal scroll in mode 5 for plane B
l193     Horizontal scroll in mode 4 (copied from reg $08)
l194     Bits 9:8 of horizontal scroll in mode 5 for plane A
l195     Bits 9:8 of horizontal scroll in mode 5 for plane B
l196     VRAM address output enable: bits 4:0 of plane A/B tile fetch
l197     Fetching plane A (0) or plane B (1)?
l198     Bit 1 of plane A/B tile address to fetch (inverted)
l199     VRAM address output enable: bits 13:5 of plane A/B tile fetch
l202     [???] (there's window tilemap fetch on VRAM bus)
l203     (pipeline, goes to l204)
l204     (pipeline, goes to l205)
l205     Set to start fetching of tilemap table data (see l251)
l206     VSRAM read enable (from w201, to l209)
l207     VSRAM write enable, upper byte (from w323, to l210)
l208     VSRAM write enable, lower byte (from w324, to l211)
l209     VSRAM read enable (from l206, to w516)
l210     VSRAM write enable, upper byte (bits 10:8)
l211     VSRAM write enable, lower byte (bits 7:0)
l212     VSRAM address to access (from w626)
l213     Set while fetching hscroll plane A bits 7:0 (see w570)
l214     Set while fetching hscroll plane A bits 9:8 (see w571)
l215     Set while fetching hscroll plane B bits 7:0 (see w572)
l216     Set while fetching hscroll plane B bits 9:8 (see w573)
l219     Plane A/B 1st tilemap fetch lower byte
l220     Plane A/B 1st tilemap fetch upper byte
l221     Plane A/B 2nd tilemap fetch lower byte
l222     Plane A/B 2nd tilemap fetch upper byte
l236     [???] Amount to shift plane to the right? (loaded with bits 3:0 of hscroll)
l237     Plane B tile pixels 7:6
l238     Plane B tile pixels 5:4
l239     Plane B tile pixels 3:2 (m5), plane A bitplane 3 (m4)
l240     Plane B tile pixels 1:0 (m5), plane A bitplane 2 (m4)
l241     [???] X offset within plane (A?) output? (loaded with l236; counts up every dot)
l251     Set while fetching tilemap data (1st tile) bits 7:0 (see w615)
l252     Set while fetching tilemap data (1st tile) bits 15:8 (see w616)
l253     Set while fetching tilemap data (2nd tile) bits 7:0 (see w617)
l254     Set while fetching tilemap data (2nd tile) bits 15:8 (see w618)
l261     Plane A tile pixels 7:6
l262     Plane A tile pixels 5:4
l263     Plane A tile pixels 3:2 (m5), plane A bitplane 1 (m4)
l264     Plane A tile pixels 1:0 (m5), plane A bitplane 0 (m4)
l269     Plane A color index to show (from w607, to l270)
l270     Plane A color index to show (from l269, to color bus)
l271     Plane A color palette to show (from w604;w603, to l272)
l272     Plane A color palette to show (from l271, to color bus)
l273     Plane A priority to show (from w605, to l274 and mux block)
l274     Plane A priority to show (from l273, to color bus)
l275     Plane B 1st tile 4th byte latch (from VRAM, may be byteswapped?)
l276     Plane B 1st tile 3rd byte latch (from VRAM, may be byteswapped?)
l277     Plane B 1st tile 2nd byte latch (from VRAM, may be byteswapped?)
l278     Plane B 1st tile 1st byte latch (from VRAM, may be byteswapped?)
l293     VRAM address bits 6:1 (used in VSRAM block)
l294     Plane B 2nd tile 4th byte latch (from VRAM, may be byteswapped?)
l295     Plane B 2nd tile 3rd byte latch (from VRAM, may be byteswapped?)
l296     Plane B 2nd tile 2nd byte latch (from VRAM, may be byteswapped?)
l297     Plane B 2nd tile 1st byte latch (from VRAM, may be byteswapped?)
l311     [???] X offset within plane (B?) output? (loaded with l236, MSB inverted; counts up every dot)
l314     (pipeline, goes to l315)
l315     (pipeline, goes to l316)
l316     Set to start fetching of hscroll table data (see l213)
l318     Plane B color index to show (from w647, to l319)
l319     Plane B color index to show (from l318, to color bus)
l320     Plane B priority to show (from w637, to l321 and mux block)
l321     Plane B priority to show (from l320, to color bus)
l322     Plane B color palette to show (from w636;w635, to l323)
l323     Plane B color palette to show (from l322, to color bus)
l327     (see l328 -> l332)
l328     (see l332)
l332     { sat_size, sat_link }
l351     Current sprite ID being processed
l352     Used to stretch out l353 one cycle longer
l363     Is VRAM address within sprite cache range (upper byte) (from w693)
l364     Is VRAM address within sprite cache range (lower byte) (from w694)
l398     Sprite index to access (from w696, to l399)
l399     Sprite index to access (from l398, to l400)
l400     Sprite index to access (from l399, to l403..l409 via w752)
l403     Sprite index to read, bit 0 (from l400 via w752, to w757); 20 (H40) or 16 (H32) entries
l404     Sprite index to read, bit 1 (from l400 via w752, to w757); 20 (H40) or 16 (H32) entries
l405     Sprite index to read, bit 2 (from l400 via w752, to w757); 20 (H40) or 16 (H32) entries
l406     Sprite index to read, bit 3 (from l400 via w752, to w757); 20 (H40) or 16 (H32) entries
l407     Sprite index to read, bit 4 (from l400 via w752, to w757); 20 (H40) or 16 (H32) entries
l408     Sprite index to read, bit 5 (from l400 via w752, to w757); 20 (H40) or 16 (H32) entries
l409     Sprite index to read, bit 6 (from l400 via w752, to w757); 20 (H40) or 16 (H32) entries
l413     Sprite hflip latch
l414     Sprite palette latch
l415     Sprite priority latch
l416     Sprite width latch
l417     Sprite height latch
l418     Sprite Y offset latch
l420     Sprite width latch *negated*
l424     Sprite pattern latch
l425     Sprite X coordinate latch
l426     [???] (gates something related to sprite X coordinate?)
l428     [???] (there's mode 5 sprite tile fetch on VRAM bus)
l523     Line buffer write data color #0
l524     Line buffer write data color #1
l525     Line buffer write data color #2
l526     Line buffer write data color #3
l527     Line buffer write data color #4
l528     Line buffer write data color #5
l529     Line buffer write data color #6
l530     Line buffer write data color #7
l538     Line buffer write enable pixel #0 (from w910, before clock)
l539     Line buffer write enable pixel #1 (from w911, before clock)
l540     Line buffer write enable pixel #2 (from w912, before clock)
l541     Line buffer write enable pixel #3 (from w913, before clock)
l542     Line buffer write enable pixel #4 (from w914, before clock)
l543     Line buffer write enable pixel #5 (from w915, before clock)
l544     Line buffer write enable pixel #6 (from w916, before clock)
l545     Line buffer write enable pixel #7 (from w917, before clock)
l553     [???] (somehow related to w970 and l556, part of a delay line?)
l554     [???] (somehow related to w971 and l557, part of a delay line?)
l555     [???] (somehow related to w972 and l558, part of a delay line?)
l556     [???] (related to S/H?, latches w970's value)
l557     [???] (related to S/H?, latches w971's value)
l558     [???] (related to S/H?, latches w972's value)
l571     VRAM write to upper byte (latched from w286, goes to w991)
l574     (use unknown?) Free VRAM slot (CPU access allowed) (latched from l109)
l585     VRAM write to lower byte (latched from w288, goes to w999)
l586     0: enable 1st VRAM (/SE0), 1: enable 2nd VRAM (/SE1)
l592     Physical VRAM address (upper half, latched from w1012)
l593     Physical VRAM address (lower half, latched from w1014)
l600     Set sprite collision flag
l601     CRAM write, upper byte (latched from w302)
l602     CRAM write, lower byte (latched from w303)
l603     Show sprite plane (from w1044, goes to color bus)
l604     Show plane A (from w1051, goes to color bus)
l605     Show plane B (from w1058, goes to color bus)
l606     Show background plane (from w1061, goes to color bus)
l615     SPA/B pin's input (logic reversed from pin!)
l617     CRAM address to access (from w1076)
l619     Set if output color is transparent (latched from w1077, goes to l625)
l620     CRAM write: data for "blue" bits (internal bits 8:6)
l622     Latched RGB color to output (BBBGGGRRR or xxxBBGGRR)
l624     Enable color output on RGB pins (from w1081)
l625     Set if output color is transparent (latched from l619)
l626     Red color output (0..7)
l627     Green color output (0..7)
l628     Blue color output (0..7)
l629     Shadow color flag? (also see w1102)
l630     Highlight color flag (see w1101/w1102 for normal/shadow)

t1       Set when writing reg $17 with DMD1=0, clear when CPU bus grant (or reset)
t2       "In DMA copy/fill" flag
t3       BGACK (low logic)
t4       "In DMA transfer" flag
t5       Set when interrupt acknowledge arrives
t7       Hblank interrupt pending
t8       External interrupt pending
t9       Vblank interrupt pending (status port F bit)
t10      Status port SOVR bit
t11      Status port C bit
t12      Set to fire the interrupt in MD mode (be more specific?)
t13      Sets the latch pipeline during access to DATA/CTRL (I think?)
t14      Seems to be set while VDP is waiting for data from VRAM/CRAM/VSRAM to be latched on a read
t15      Which command byte to write next in SMS mode? (t16 gated by w154?)
t16      Which command byte to write next in SMS mode?
t18      Which command word to write next? (0: low, 1: high)
t19      CPU upper byte strobe (set by UDS, clear by w189)
t20      CPU lower byte strobe (set by LDS, clear by w189)
t21      In the middle of a DATA port write
t25      Writing command bits 15:8 (set by w164, clear by w176)
t28      Set when a FIFO entry is flushed during DMA, reset when DMA finishes
t30      hblank? (later delayed by 1 in m4, by 2 in m5)
t32      hsync (equalization pulses, later delayed by 1 in m4, by 2 in m5)
t33      hsync (normal hsync, later delayed by 1 in m4, by 2 in m5)
t37      disable color output (vertical)

cpu_sel        1 = 68000, 0 = Z80

reg_80_b0      Reg 00:0 = external sync
reg_m3         Reg 00:1 = HV counter latch
reg_80_b2      Reg 00:2 = mode 4 enable (that bit that messes with color depth)
reg_80_b3      Reg 00:3
reg_ie1        Reg 00:4 = hblank interrupt enable
reg_lcb        Reg 00:5 = left column blank
reg_80_b6      Reg 00:6 = mode 4 hscroll inhibit
reg_80_b7      Reg 00:7 = mode 4 vscroll inhibit

reg_81_b0      Reg 01:0 = mode 4 MAG bit
reg_81_b1      Reg 01:1 = mode 4 sprite size
reg_m5         Reg 01:2 = mode 5 enable
reg_m2         Reg 01:3 = V28/V30 select
reg_m1         Reg 01:4 = DMA enable
reg_ie0        Reg 01:5 = vblank interrupt enable
reg_disp       Reg 01:6 = display enable
reg_81_b7      Reg 01:7 = VRAM bus mode

reg_lscr       Reg 0B:0 = hscroll mode
reg_hscr       Reg 0B:1 = hscroll mode
reg_vscr       Reg 0B:2 = vscroll mode
reg_ie2        Reg 0B:3 = external interrupt enable
reg_8b_b4      Reg 0B:4 = VRAM address MSB override
reg_8b_b5      Reg 0B:5 = VRAM address MSB select
reg_8b_b6      Reg 0B:6 = DRAM operation
reg_8b_b7      Reg 0B:7 = DRAM address vs. color bus output

reg_rs1        Reg 0C:0 = H32/H40 select
reg_lsm0       Reg 0C:1 = interlaced mode select
reg_lsm1       Reg 0C:2 = interlaced mode select
reg_ste        Reg 0C:3 = shadow/highlight enable
reg_8c_b4      Reg 0C:4
reg_8c_b5      Reg 0C:5
reg_8c_b6      Reg 0C:6
reg_rs0        Reg 0C:7 = DCLK/EDCLK select

reg_86_b2      Reg 06:2 = sprite bank in mode 4
reg_86_b5      Reg 06:5 = sprite bank in mode 5
reg_8e_b0      Reg 0E:0 = plane A bank in mode 5
reg_8e_b4      Reg 0E:4 = plane B bank in mode 5

reg_sa         Reg 02:6/3 = plane A table address (mode 5)
reg_nt         Reg 02:2/1 = plane A table address (mode 4)
reg_sb         Reg 04:3/0 = plane B table address
reg_wd         Reg 03:6/1 = window table address
reg_hs         Reg 0D:6/0 = hscroll table address

reg_hsz        Reg 10:1/0 = plane A/B width
reg_vsz        Reg 10:5/4 = plane A/B height
reg_88         Reg 08 = mode 4 hscroll
l179           Reg 09 = mode 4 vscroll

reg_col_index  Reg 07:3/0 = background color
reg_col_pal    Reg 07:5/4 = background palette
reg_col_b6     Reg 07:6
reg_col_b7     Reg 07:7

reg_inc        Reg 0F = autoincrement
reg_lg         Reg 13/14 = DMA length
reg_sa_low     Reg 16/15 = DMA source address low
reg_sa_high    Reg 17:5/0 = DMA source address high
reg_dmd        Reg 17:7/6 = DMA type

reg_code       Command CD5:0 input
reg_addr       Command address input
reg_data_l2    Current command address
reg_data_sum   Autoincremented address
reg_data_mux   Current or incremented address (see w185)

reg_test_18    Selected test port
reg_test0      Test port #0


* Register write enables at w210..w233 (not in order, see below)

      $00 w216    $08 w231    $10 w224
      $01 w217    $09 w230    $11 w223
      $02 w218    $0A w229    $12 w222
      $03 w219    $0B w213    $13 w211
      $04 w220    $0C w215    $14 w212
      $05 w226    $0D w233    $15 w228
      $06 w225    $0E w232    $16 w214
      $07 w221    $0F w210    $17 w227

* w942..w949 determine whether a sprite pixel can be rewritten or not. They're
  muxes: looks like w950 would have picked between underdraw or overdraw (i.e.
  front to back or back to front), but in practice it's hardwired to always do
  underdraw.

* YS is overriden by test reg $0 bit 5: when set, it outputs VRAM address MSB.

* CRAM in mode 4 stores the colors as xxxbbggrr internally (removing the gaps).
  The "xxx" is stored from data bus bits 11:9 as usual (what would be "bbb" in
  mode 5), but this would be out of reach from the Z80 (would it be open bus or
  what else?). 68000 should be able to write to those, however.


Line 2762      CPU address decoding
Line 2979      Register write enables
Line 3287      HV counter latch?
Line 3013      FIFO storage? (address)
Line 3306      FIFO storage? (data)
Line 3345      Command CD4:0 input latch (reg_code[4:0], where's CD5?)
Line 3348      Command address input latch (reg_addr)
Line 3355      Command address latch (reg_data_l2)
Line 3361      Register $00 latch
Line 3371      Register $0C latch
Line 3380      Register $01 latch
Line 3390      Register $0B latch
Line 3399      Register $0F latch
Line 3401      Register $17 latch
Line 3405      Register $13 latch
Line 3408      Register $14 latch
Line 3411      Register $15 latch
Line 3414      Register $16 latch
Line 3831      PLA V
Line 3880      PLA H #1
Line 3944      PLA H #2
Line 4598      CRAM address set
Line 5972      Sprite table cache
Line 6020      Sprite drawing?
Line 6067      Line buffer
Line 6073      Line buffer data input
Line 6120      Line buffer write
Line 6139      Line buffer read
Line 6268      VRAM physical address
Line 6322      Layer muxer
Line 6453      Register $07 latch
Line 7106      Data bus pin output
Line 7122      Data bus pin direction
